Data do Evento,Cidade/Município,Tipo de Ocorrência
03/02/2020,Francisco Morato,Alagamento
10/02/2020,Francisco Morato,Chuva Intensa / Alerta
11/02/2020,Francisco Morato,Chuva Intensa / Alerta
21/02/2020,Francisco Morato,Chuva Forte / Interrupção de Transporte
21/02/2020,Jundiaí,Chuva Forte / Interrupção de Transporte
24/02/2020,Francisco Morato,Alagamento / Desabamento
30/10/2020,Francisco Morato,Enchente / Dano Estrutural
20/02/2020,Campo Limpo Paulista,Chuva Forte / Interdição / Desabamento
28/01/2022,Francisco Morato,Deslizamento / Alagamento / Fatalidades
29/01/2022,Francisco Morato,Deslizamento / Alagamento / Fatalidades
30/01/2022,Francisco Morato,Deslizamento / Alagamento / Fatalidades
30/01/2022,Franco da Rocha,Alagamento / Deslizamento / Fatalidades
30/01/2022,Caieiras,Alagamento / Transbordamento de Rio
31/01/2022,Campo Limpo Paulista,Alagamento / Interdição
04/01/2023,Franco da Rocha,Alagamento / Tempestade
05/01/2023,Franco da Rocha,Alagamento / Tempestade
18/04/2023,Franco da Rocha,Alagamento
19/04/2023,Franco da Rocha,Alagamento
18/04/2023,Caieiras,Alagamento / Transbordamento de Rio
19/04/2023,Caieiras,Alagamento / Transbordamento de Rio
08/10/2023,Franco da Rocha,Alagamento / Deslizamento
09/10/2023,Franco da Rocha,Alagamento / Deslizamento
08/10/2023,Caieiras,Alagamento / Deslizamento
09/10/2023,Caieiras,Alagamento / Deslizamento
02/11/2023,Caieiras,Enchente
05/03/2024,Caieiras,Enchente
26/12/2024,Caieiras,Alagamento / Transbordamento de Rio / Interrupção de Transporte
27/12/2024,Caieiras,Alagamento / Transbordamento de Rio / Interrupção de Transporte
01/02/2025,Franco da Rocha,Alagamento / Transbordamento de Rio
31/01/2025,Franco da Rocha,Alagamento / Transbordamento de Rio
01/02/2025,Caieiras,Alagamento / Transbordamento de Rio
31/01/2025,Caieiras,Alagamento / Transbordamento de Rio
20/02/2025,Francisco Morato,Deslizamento / Situação de Emergência
23/03/2025,"Francisco Morato, Franco da Rocha, Caieiras",Chuva Forte
19/04/2025,Campo Limpo Paulista,Alagamento / Interrupção de Transporte
